,username,talking_about_count,time
336,burgerking,154945,2015-01-01 05:00:00+00
894,burgerking,166069,2015-01-03 05:00:00+00
1310,burgerking,97327,2015-01-04 05:00:00+00
1524,burgerking,117418,2015-01-06 05:00:00+00
2119,burgerking,124865,2015-01-07 05:00:00+00
2380,burgerking,154106,2015-01-08 05:00:00+00
2913,burgerking,168440,2015-01-09 05:00:00+00
3359,burgerking,171318,2015-01-10 05:00:00+00
3761,burgerking,166523,2015-01-12 05:00:00+00
4460,burgerking,166523,2015-01-13 05:00:00+00
4948,burgerking,166523,2015-01-14 05:00:00+00
5203,burgerking,154314,2015-01-15 05:00:00+00
5885,burgerking,149728,2015-01-16 05:00:00+00
6258,burgerking,149728,2015-01-17 05:00:00+00
6722,burgerking,142078,2015-01-18 05:00:00+00
7060,burgerking,142078,2015-01-19 05:00:00+00
7555,burgerking,142078,2015-01-20 05:00:00+00
7866,burgerking,147522,2015-01-21 05:00:00+00
8469,burgerking,147522,2015-01-22 05:00:00+00
9041,burgerking,178113,2015-01-23 05:00:00+00
9242,burgerking,157247,2015-01-24 05:00:00+00
9684,burgerking,172844,2015-01-25 05:00:00+00
10228,burgerking,177115,2015-01-26 05:00:00+00
10922,burgerking,177115,2015-01-27 05:00:00+00
11087,burgerking,177115,2015-01-28 05:00:00+00
11927,burgerking,167711,2015-01-29 05:00:00+00
12021,burgerking,167711,2015-01-30 05:00:00+00
12554,burgerking,167711,2015-01-31 05:00:00+00
13222,burgerking,162839,2015-02-01 05:00:00+00
13649,burgerking,162839,2015-02-02 05:00:00+00
14102,burgerking,162839,2015-02-03 05:00:00+00
14458,burgerking,162839,2015-02-04 05:00:00+00
15152,burgerking,162839,2015-02-05 05:00:00+00
15500,burgerking,132979,2015-02-06 05:00:00+00
15735,burgerking,97380,2015-02-07 05:00:00+00
16334,burgerking,85775,2015-02-08 05:00:00+00
16838,burgerking,85312,2015-02-09 05:00:00+00
17329,burgerking,85936,2015-02-10 05:00:00+00
17896,burgerking,84109,2015-02-11 05:00:00+00
18219,burgerking,98130,2015-02-12 05:00:00+00
18905,burgerking,98130,2015-02-13 05:00:00+00
19082,burgerking,88349,2015-02-14 05:00:00+00
19824,burgerking,91285,2015-02-15 05:00:00+00
19966,burgerking,153183,2015-02-17 05:00:00+00
20516,burgerking,208837,2015-02-18 05:00:00+00
20979,burgerking,251283,2015-02-20 05:00:00+00
21644,burgerking,306589,2015-02-21 05:00:00+00
21877,burgerking,309226,2015-02-22 05:00:00+00
22488,burgerking,309226,2015-02-23 05:00:00+00
22974,burgerking,304014,2015-02-24 05:00:00+00
23459,burgerking,246828,2015-02-25 05:00:00+00
23848,burgerking,222111,2015-02-26 05:00:00+00
24231,burgerking,204163,2015-02-27 05:00:00+00
24594,burgerking,184105,2015-02-28 05:00:00+00
25310,burgerking,184105,2015-03-01 05:00:00+00
25663,burgerking,183981,2015-03-02 05:00:00+00
26013,burgerking,174836,2015-03-03 05:00:00+00
26449,burgerking,219312,2015-03-04 05:00:00+00
27192,burgerking,219312,2015-03-05 05:00:00+00
27481,burgerking,322526,2015-03-06 05:00:00+00
28150,burgerking,399974,2015-03-07 05:00:00+00
28525,burgerking,420795,2015-03-08 05:00:00+00
28911,burgerking,420795,2015-03-09 04:00:00+00
29179,burgerking,420795,2015-03-11 04:00:00+00
29983,burgerking,418308,2015-03-12 04:00:00+00
30187,burgerking,418308,2015-03-13 04:00:00+00
30721,burgerking,246237,2015-03-17 04:00:00+00
31271,burgerking,200892,2015-03-19 04:00:00+00
31872,burgerking,200892,2015-03-20 04:00:00+00
32407,burgerking,183908,2015-03-21 04:00:00+00
32454,burgerking,143493,2015-03-22 04:00:00+00
32978,burgerking,128256,2015-03-23 04:00:00+00
34174,burgerking,117796,2015-03-24 04:00:00+00
34367,burgerking,108133,2015-03-25 04:00:00+00
